checkpoint,condition,seed,precision,recall,mAP50,mAP50-95
D1_pgd_at,snua_go_weak,2,0.67931177827719,0.38749415025980133,0.408493531758799,0.2062761764086977
D1_pgd_at,snua_go_medium,0,0.5534697022269324,0.33632824570539566,0.29082817313248865,0.1331277425756458
D1_pgd_at,snua_go_medium,1,0.5013308895493798,0.35365853658536583,0.2943970238970722,0.13552526005499804
D1_pgd_at,snua_go_medium,2,0.6066040291372584,0.32621951219512196,0.29630501334675147,0.13283558157564287
D1_pgd_at,aria_medium,0,0.6958759463955746,0.5396341463414634,0.5736741805712737,0.3307770154864112
D1_pgd_at,aria_medium,1,0.7038527038805108,0.524390243902439,0.5682036422862305,0.32684819145654515
D1_pgd_at,aria_medium,2,0.7056637113303378,0.5262778058658365,0.568221396656204,0.3289651491739029
D1_pgd_at,combined_medium,0,0.5632583698353937,0.31402439024390244,0.2738336312552093,0.125656359401964
D1_pgd_at,combined_medium,1,0.523478429971522,0.3248770663182257,0.2743113131355638,0.13069002954267786
D1_pgd_at,combined_medium,2,0.5467997722313003,0.3231707317073171,0.26562799107975904,0.12458347802963751
D2_random_swir_aug,clean,,0.7734246102160386,0.5701219512195121,0.6399151480506198,0.35318943557170634
D2_random_swir_aug,pgd20,0,0.00024493509220056684,0.021341463414634148,6.339660918707433e-06,1.100383092385322e-06
D2_random_swir_aug,pgd20,1,0.0001789741203421985,0.01524390243902439,3.0492453117853335e-06,3.338262652825796e-07
D2_random_swir_aug,pgd20,2,0.00024218101300858014,0.021341463414634148,6.938112040597867e-06,1.0181267839898746e-06
D2_random_swir_aug,snua_go_weak,0,0.5858934785964595,0.38414634146341464,0.35895541625210486,0.16786982439533196
D2_random_swir_aug,snua_go_weak,1,0.5792408344935548,0.3871951219512195,0.3496079616437854,0.16787700653475854
D2_random_swir_aug,snua_go_weak,2,0.5853474987751053,0.3932926829268293,0.35991078627713624,0.16600595042976624
D2_random_swir_aug,snua_go_medium,0,0.44094280699671384,0.3628048780487805,0.23083725618723394,0.09344432735620753
D2_random_swir_aug,snua_go_medium,1,0.4170333520642086,0.3628048780487805,0.24093038931444333,0.09547832243987484
D2_random_swir_aug,snua_go_medium,2,0.4591350039756371,0.36890243902439024,0.24013241876908242,0.09673590017747428
D2_random_swir_aug,aria_medium,0,0.8040361289933441,0.5548780487804879,0.6351854983208542,0.34762022758874145
D2_random_swir_aug,aria_medium,1,0.7629595463093424,0.5789726076733416,0.6353041844948197,0.3471942729621563
D2_random_swir_aug,aria_medium,2,0.7837691085169787,0.5548780487804879,0.6308830539234345,0.345131130903168
D2_random_swir_aug,combined_medium,0,0.4511458067373145,0.36890243902439024,0.23950400522600201,0.09687609273959581
D2_random_swir_aug,combined_medium,1,0.4619315871863189,0.36585365853658536,0.2479712934175609,0.09867485621796525
D2_random_swir_aug,combined_medium,2,0.45296531982353755,0.36857882861065994,0.23528466611354412,0.09830853510257494
D3_snua_at,clean,,0.7900954896565349,0.5701219512195121,0.6580502813112694,0.36819186764107176
D3_snua_at,pgd20,0,0.0005977163078981072,0.006097560975609756,7.161922779378127e-06,7.161922779378127e-07
D3_snua_at,pgd20,1,0.0003596910478075152,0.006097560975609756,9.79431929480901e-06,1.6047583648011858e-06
D3_snua_at,pgd20,2,0.0007163921241045913,0.012195121951219513,1.5320467655714994e-05,2.4729208869269016e-06
D3_snua_at,snua_go_weak,0,0.8183776123984755,0.5060975609756098,0.6065905250861767,0.3306816256237203
D3_snua_at,snua_go_weak,1,0.8294339136996017,0.5060975609756098,0.6047767213271091,0.33086946292344144
D3_snua_at,snua_go_weak,2,0.811502524130569,0.5118895117241808,0.6065675418419963,0.33159436791801616
D3_snua_at,snua_go_medium,0,0.7901409769553203,0.4695121951219512,0.5523927176489098,0.29805603516371426
D3_snua_at,snua_go_medium,1,0.79710475896393,0.4725609756097561,0.5514437216160268,0.29808460587242835
D3_snua_at,snua_go_medium,2,0.7832211470089947,0.4695121951219512,0.5532779956847668,0.2987630705218206
D3_snua_at,aria_medium,0,0.7996925854915711,0.5670731707317073,0.647795774693245,0.35940984386240393
D3_snua_at,aria_medium,1,0.7953935752703261,0.5701219512195121,0.649687894827976,0.36118612822443324
D3_snua_at,aria_medium,2,0.7796441622593739,0.573170731707317,0.6494446599849251,0.3629539546287677
D3_snua_at,combined_medium,0,0.7891238781202456,0.4573170731707317,0.5384606548171402,0.2921158434944783
D3_snua_at,combined_medium,1,0.7454580693132062,0.4695121951219512,0.5420754393345162,0.2909338187625368
D3_snua_at,combined_medium,2,0.7826714038345022,0.4611485701489133,0.5368887477945892,0.28995285695639855
D5_mixed_swir_at,clean,,0.7211723231483652,0.5792682926829268,0.6189638257330567,0.3684251201137816
D5_mixed_swir_at,pgd20,0,0.0002965913780135239,0.006097560975609756,1.7241379310344827e-06,2.7943434104865376e-07
D5_mixed_swir_at,pgd20,1,0.0003486750348675035,0.01524390243902439,6.906040554507773e-06,7.994890728723801e-07
D5_mixed_swir_at,pgd20,2,0.0002095850216571189,0.009146341463414634,1.1602722772277227e-06,2.15728125030848e-07
D5_mixed_swir_at,snua_go_weak,0,0.7277004246616772,0.49700626764037026,0.5695358325296946,0.33333500965042345
D5_mixed_swir_at,snua_go_weak,1,0.7285834478724927,0.5,0.5693462585460125,0.332993830091159
D5_mixed_swir_at,snua_go_weak,2,0.7281274250975777,0.49808187849449786,0.5691478557383578,0.33242037800212004
D5_mixed_swir_at,snua_go_medium,0,0.7080240308711289,0.4731610998175966,0.5177466360280927,0.29183749484495614
D5_mixed_swir_at,snua_go_medium,1,0.7030288881604132,0.47865853658536583,0.5176660337651867,0.29134931140321724
D5_mixed_swir_at,snua_go_medium,2,0.7041679816441998,0.4695121951219512,0.5161350439537915,0.29157684156845376
D5_mixed_swir_at,aria_medium,0,0.7276805196449116,0.5621335080161414,0.6100850893730501,0.36236459399270726
D5_mixed_swir_at,aria_medium,1,0.6990312207357492,0.5792682926829268,0.6102214647892235,0.36194908508625845
D5_mixed_swir_at,aria_medium,2,0.7155252952963927,0.573170731707317,0.6104931691295608,0.36312466190260506
D5_mixed_swir_at,combined_medium,0,0.7581781601272927,0.4451219512195122,0.509352928630148,0.283326786984319
D5_mixed_swir_at,combined_medium,1,0.7553907046592404,0.4420731707317073,0.5083087315996547,0.282371584415379
D5_mixed_swir_at,combined_medium,2,0.7398558295335679,0.45121951219512196,0.5097490344132216,0.28466083442247325
