dataset,split_variant,model,training,checkpoint,eval_split,attack,n_seeds,mAP50,mAP50_std,mAP50-95,mAP50-95_std,precision,recall,selection_bias,source
NSLSR,leakage-safe (segment),small,standard,last,test,combined_strong,3,0.1383,0.0130,0.0341,0.0035,0.3943,0.2157,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,last,test,random_fpn_medium,3,0.8718,0.0032,0.5996,0.0017,0.8957,0.7659,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,last,test,random_radiometric_medium,3,0.9398,0.0006,0.6870,0.0017,0.8793,0.9135,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,last,val,clean,1,0.5840,,0.3213,,0.7932,0.4756,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),small,adversarial,best,test,clean,1,0.9160,,0.6169,,0.9331,0.7784,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),small,adversarial,best,test,pgd20,1,0.2461,,0.1068,,0.3189,0.4326,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),small,adversarial,best,val,clean,1,0.6124,,0.3408,,0.7573,0.5244,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),small,adversarial,last,test,clean,1,0.8961,,0.6430,,0.8304,0.8605,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),small,adversarial,last,test,pgd20,1,0.5022,,0.2430,,0.6813,0.5674,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),small,adversarial,last,val,clean,1,0.5394,,0.3086,,0.7269,0.5366,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),small,pgd_at,best,test,clean,1,0.9160,,0.6169,,0.9331,0.7784,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,best,test,pgd20,3,0.2583,0.0083,0.1108,0.0031,0.3289,0.4326,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,best,test,snua_go_weak,3,0.8353,0.0008,0.5153,0.0013,0.8597,0.7157,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,best,test,snua_go_medium,3,0.7148,0.0009,0.3863,0.0006,0.7845,0.6744,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,best,test,aria_medium,3,0.9100,0.0007,0.6092,0.0021,0.9156,0.7831,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,best,test,combined_medium,3,0.7096,0.0057,0.3787,0.0074,0.8026,0.6543,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,best,test,snua_go_strong,3,0.3053,0.0138,0.1158,0.0053,0.5012,0.3674,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,best,test,aria_strong,3,0.8854,0.0017,0.5770,0.0026,0.9003,0.7798,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,best,test,combined_strong,3,0.2865,0.0301,0.1057,0.0072,0.4964,0.3338,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,best,test,random_fpn_medium,3,0.9229,0.0009,0.6290,0.0008,0.8502,0.8648,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,best,test,random_radiometric_medium,3,0.9152,0.0005,0.6170,0.0026,0.9203,0.7855,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,last,test,clean,1,0.8961,,0.6430,,0.8304,0.8605,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,last,test,pgd20,3,0.5114,0.0023,0.2448,0.0025,0.6659,0.5705,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,last,test,snua_go_weak,3,0.8264,0.0006,0.5514,0.0015,0.7940,0.7721,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,last,test,snua_go_medium,3,0.7325,0.0082,0.4368,0.0032,0.7921,0.7033,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,last,test,aria_medium,3,0.8926,0.0016,0.6390,0.0019,0.8304,0.8589,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,last,test,combined_medium,3,0.7275,0.0022,0.4313,0.0032,0.7886,0.7015,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,last,test,snua_go_strong,3,0.4037,0.0053,0.1643,0.0009,0.5269,0.4341,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,last,test,aria_strong,3,0.8821,0.0061,0.6197,0.0019,0.8637,0.8120,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,last,test,combined_strong,3,0.3734,0.0043,0.1498,0.0032,0.5057,0.4256,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,last,test,random_fpn_medium,3,0.8966,0.0051,0.6478,0.0016,0.8328,0.8799,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,pgd_at,last,test,random_radiometric_medium,3,0.8989,0.0061,0.6442,0.0012,0.8580,0.8448,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,clean,1,0.9286,,0.6583,,0.8428,0.8480,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0001,0.0047,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,snua_go_weak,3,0.7080,0.0025,0.4107,0.0009,0.7688,0.6884,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,snua_go_medium,3,0.5490,0.0099,0.2639,0.0033,0.6596,0.5736,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,aria_medium,3,0.9254,0.0005,0.6497,0.0013,0.8502,0.8336,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,combined_medium,3,0.5474,0.0132,0.2627,0.0058,0.6394,0.5753,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,snua_go_strong,3,0.2216,0.0205,0.0587,0.0076,0.3253,0.3814,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,aria_strong,3,0.9112,0.0032,0.6239,0.0031,0.8778,0.7917,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,combined_strong,3,0.2070,0.0245,0.0539,0.0094,0.2916,0.3674,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,random_fpn_medium,3,0.9257,0.0029,0.6490,0.0019,0.8731,0.8248,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,random_swir_aug,robust_best,test,random_radiometric_medium,3,0.9321,0.0031,0.6589,0.0017,0.8541,0.8426,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,clean,1,0.9125,,0.6478,,0.8283,0.8837,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,snua_go_weak,3,0.8552,0.0005,0.5716,0.0006,0.8000,0.7820,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,snua_go_medium,3,0.7780,0.0012,0.4924,0.0015,0.7544,0.7427,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,aria_medium,3,0.9048,0.0030,0.6392,0.0019,0.8179,0.8798,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,combined_medium,3,0.7676,0.0010,0.4847,0.0001,0.7517,0.7404,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,snua_go_strong,3,0.6257,0.0039,0.3603,0.0007,0.6035,0.6946,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,aria_strong,3,0.8872,0.0063,0.6170,0.0024,0.8020,0.8565,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,combined_strong,3,0.6066,0.0083,0.3375,0.0010,0.6107,0.6341,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,random_fpn_medium,3,0.9109,0.0012,0.6458,0.0024,0.8257,0.8847,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,snua_at,robust_best,test,random_radiometric_medium,3,0.9099,0.0033,0.6458,0.0015,0.8345,0.8795,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,clean,1,0.9535,,0.6785,,0.8965,0.8744,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,snua_go_weak,3,0.9219,0.0002,0.6242,0.0005,0.8745,0.8279,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,snua_go_medium,3,0.8896,0.0006,0.5615,0.0014,0.8961,0.7752,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,aria_medium,3,0.9498,0.0016,0.6680,0.0019,0.8849,0.8697,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,combined_medium,3,0.8834,0.0015,0.5509,0.0012,0.8859,0.7690,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,snua_go_strong,3,0.7953,0.0034,0.4445,0.0019,0.8405,0.7210,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,aria_strong,3,0.9342,0.0008,0.6430,0.0024,0.8834,0.8422,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,combined_strong,3,0.7652,0.0065,0.4141,0.0066,0.7997,0.7070,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,random_fpn_medium,3,0.9534,0.0004,0.6762,0.0018,0.8964,0.8760,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,mixed_swir_at,robust_best,test,random_radiometric_medium,3,0.9546,0.0005,0.6757,0.0018,0.8939,0.8760,,all_evals_results.csv
RASMD,stratified (own),nano,standard,best,test,clean,1,0.7076,,0.4618,,0.8041,0.6684,,aggregate_results_table2.csv
RASMD,stratified (own),nano,standard,best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0556,0.0000,,all_evals_results.csv
RASMD,stratified (own),nano,standard,best,test,snua_go_weak,3,0.0769,0.0006,0.0366,0.0007,0.3384,0.1151,,all_evals_results.csv
RASMD,stratified (own),nano,standard,best,test,snua_go_medium,3,0.0107,0.0021,0.0050,0.0010,0.0324,0.0603,,all_evals_results.csv
RASMD,stratified (own),nano,standard,best,test,aria_medium,3,0.7058,0.0008,0.4589,0.0005,0.7925,0.6731,,all_evals_results.csv
RASMD,stratified (own),nano,standard,best,test,combined_medium,3,0.0079,0.0012,0.0037,0.0005,0.0283,0.0543,,all_evals_results.csv
RASMD,stratified (own),nano,standard,best,test,snua_go_strong,3,0.0002,0.0001,0.0001,0.0001,0.1713,0.0004,,all_evals_results.csv
RASMD,stratified (own),nano,standard,best,test,aria_strong,3,0.6914,0.0035,0.4458,0.0013,0.7755,0.6603,,all_evals_results.csv
RASMD,stratified (own),nano,standard,best,test,combined_strong,3,0.0001,0.0001,0.0001,0.0001,0.1713,0.0003,,all_evals_results.csv
RASMD,stratified (own),nano,standard,best,test,random_fpn_medium,3,0.2411,0.0025,0.1545,0.0026,0.7045,0.2264,,all_evals_results.csv
RASMD,stratified (own),nano,standard,best,test,random_radiometric_medium,3,0.7084,0.0015,0.4633,0.0010,0.7980,0.6715,,all_evals_results.csv
RASMD,stratified (own),nano,standard,best,val,clean,1,0.7274,,0.5126,,0.8169,0.7297,,aggregate_results_table2.csv
RASMD,stratified (own),nano,standard,last,test,clean,1,0.7066,,0.4550,,0.8145,0.6727,,aggregate_results_table2.csv
RASMD,stratified (own),nano,standard,last,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,all_evals_results.csv
RASMD,stratified (own),nano,standard,last,test,snua_go_weak,3,0.0776,0.0041,0.0366,0.0016,0.2407,0.0986,,all_evals_results.csv
RASMD,stratified (own),nano,standard,last,test,snua_go_medium,3,0.0074,0.0019,0.0045,0.0013,0.0314,0.0235,,all_evals_results.csv
RASMD,stratified (own),nano,standard,last,test,aria_medium,3,0.7028,0.0006,0.4497,0.0005,0.7928,0.6740,,all_evals_results.csv
RASMD,stratified (own),nano,standard,last,test,combined_medium,3,0.0057,0.0018,0.0034,0.0013,0.0308,0.0194,,all_evals_results.csv
RASMD,stratified (own),nano,standard,last,test,snua_go_strong,3,0.0000,0.0000,0.0000,0.0000,0.2801,0.0002,,all_evals_results.csv
RASMD,stratified (own),nano,standard,last,test,aria_strong,3,0.6886,0.0013,0.4328,0.0004,0.7689,0.6660,,all_evals_results.csv
RASMD,stratified (own),nano,standard,last,test,combined_strong,3,0.0000,0.0001,0.0000,0.0000,0.0014,0.0008,,all_evals_results.csv
RASMD,stratified (own),nano,standard,last,test,random_fpn_medium,3,0.2308,0.0008,0.1449,0.0018,0.6620,0.2183,,all_evals_results.csv
RASMD,stratified (own),nano,standard,last,test,random_radiometric_medium,3,0.7061,0.0012,0.4550,0.0005,0.8133,0.6718,,all_evals_results.csv
RASMD,stratified (own),nano,standard,last,val,clean,1,0.7297,,0.4986,,0.8169,0.7187,,aggregate_results_table2.csv
RASMD,stratified (own),nano,adversarial,best,test,clean,1,0.6524,,0.4132,,0.7189,0.5583,,aggregate_results_table2.csv
RASMD,stratified (own),nano,adversarial,best,test,pgd20,1,0.0497,,0.0168,,0.3451,0.0995,,aggregate_results_table2.csv
RASMD,stratified (own),nano,adversarial,best,val,clean,1,0.6263,,0.4433,,0.7400,0.5813,,aggregate_results_table2.csv
RASMD,stratified (own),nano,adversarial,last,test,clean,1,0.6797,,0.4347,,0.7759,0.6388,,aggregate_results_table2.csv
RASMD,stratified (own),nano,adversarial,last,test,pgd20,1,0.0638,,0.0181,,0.3240,0.1245,,aggregate_results_table2.csv
RASMD,stratified (own),nano,adversarial,last,val,clean,1,0.6025,,0.4307,,0.6839,0.5769,,aggregate_results_table2.csv
RASMD,stratified (own),nano,pgd_at,best,test,clean,1,0.6524,,0.4132,,0.7189,0.5583,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,best,test,pgd20,3,0.0500,0.0019,0.0171,0.0001,0.3532,0.0969,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,best,test,snua_go_weak,3,0.1678,0.0018,0.0947,0.0005,0.3909,0.1926,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,best,test,snua_go_medium,3,0.0587,0.0057,0.0273,0.0024,0.2490,0.0820,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,best,test,aria_medium,3,0.6461,0.0028,0.4075,0.0022,0.7211,0.5512,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,best,test,combined_medium,3,0.0561,0.0063,0.0267,0.0027,0.2428,0.0793,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,best,test,snua_go_strong,3,0.0032,0.0011,0.0011,0.0003,0.0760,0.0170,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,best,test,aria_strong,3,0.6231,0.0093,0.3918,0.0049,0.7247,0.5286,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,best,test,combined_strong,3,0.0022,0.0007,0.0007,0.0003,0.1997,0.0087,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,best,test,random_fpn_medium,3,0.2781,0.0062,0.1817,0.0023,0.7078,0.2543,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,best,test,random_radiometric_medium,3,0.6526,0.0029,0.4125,0.0027,0.7284,0.5522,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,last,test,clean,1,0.6797,,0.4347,,0.7759,0.6388,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,last,test,pgd20,3,0.0652,0.0011,0.0185,0.0004,0.3277,0.1231,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,last,test,snua_go_weak,3,0.1639,0.0001,0.0910,0.0003,0.4172,0.1859,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,last,test,snua_go_medium,3,0.0572,0.0037,0.0250,0.0022,0.2242,0.0799,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,last,test,aria_medium,3,0.6751,0.0017,0.4313,0.0007,0.7597,0.6373,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,last,test,combined_medium,3,0.0570,0.0034,0.0245,0.0018,0.2344,0.0792,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,last,test,snua_go_strong,3,0.0027,0.0010,0.0008,0.0003,0.0090,0.0102,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,last,test,aria_strong,3,0.6577,0.0055,0.4169,0.0033,0.7209,0.6359,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,last,test,combined_strong,3,0.0021,0.0003,0.0007,0.0002,0.0072,0.0090,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,last,test,random_fpn_medium,3,0.2830,0.0068,0.1848,0.0028,0.7249,0.2562,,all_evals_results.csv
RASMD,stratified (own),nano,pgd_at,last,test,random_radiometric_medium,3,0.6783,0.0010,0.4352,0.0008,0.7640,0.6391,,all_evals_results.csv
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,clean,1,0.6915,,0.4550,,0.7432,0.6994,,all_evals_results.csv
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,all_evals_results.csv
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,snua_go_weak,3,0.4310,0.0035,0.2356,0.0019,0.5935,0.4276,,all_evals_results.csv
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,snua_go_medium,3,0.2182,0.0077,0.0994,0.0041,0.4360,0.2596,,all_evals_results.csv
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,aria_medium,3,0.6871,0.0028,0.4510,0.0021,0.7415,0.6974,,all_evals_results.csv
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,combined_medium,3,0.2166,0.0044,0.0979,0.0006,0.4350,0.2594,,all_evals_results.csv
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,snua_go_strong,3,0.0341,0.0067,0.0109,0.0010,0.1353,0.0622,,all_evals_results.csv
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,aria_strong,3,0.6759,0.0027,0.4381,0.0019,0.7186,0.6880,,all_evals_results.csv
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,combined_strong,3,0.0321,0.0076,0.0098,0.0014,0.1348,0.0609,,all_evals_results.csv
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,random_fpn_medium,3,0.6759,0.0018,0.4292,0.0023,0.7599,0.6355,,all_evals_results.csv
RASMD,stratified (own),nano,random_swir_aug,robust_best,test,random_radiometric_medium,3,0.6909,0.0023,0.4547,0.0023,0.7416,0.6964,,all_evals_results.csv
RASMD,stratified (own),nano,snua_at,robust_best,test,clean,1,0.7085,,0.4572,,0.8237,0.6438,,all_evals_results.csv
RASMD,stratified (own),nano,snua_at,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,all_evals_results.csv
RASMD,stratified (own),nano,snua_at,robust_best,test,snua_go_weak,3,0.6799,0.0016,0.4204,0.0003,0.7991,0.6267,,all_evals_results.csv
RASMD,stratified (own),nano,snua_at,robust_best,test,snua_go_medium,3,0.6444,0.0018,0.3874,0.0004,0.7620,0.6166,,all_evals_results.csv
RASMD,stratified (own),nano,snua_at,robust_best,test,aria_medium,3,0.6973,0.0018,0.4472,0.0015,0.8095,0.6402,,all_evals_results.csv
RASMD,stratified (own),nano,snua_at,robust_best,test,combined_medium,3,0.6357,0.0027,0.3799,0.0008,0.7394,0.6187,,all_evals_results.csv
RASMD,stratified (own),nano,snua_at,robust_best,test,snua_go_strong,3,0.5683,0.0013,0.3231,0.0007,0.6364,0.5735,,all_evals_results.csv
RASMD,stratified (own),nano,snua_at,robust_best,test,aria_strong,3,0.6784,0.0017,0.4273,0.0017,0.7672,0.6389,,all_evals_results.csv
RASMD,stratified (own),nano,snua_at,robust_best,test,combined_strong,3,0.5290,0.0008,0.2981,0.0010,0.6104,0.5134,,all_evals_results.csv
RASMD,stratified (own),nano,snua_at,robust_best,test,random_fpn_medium,3,0.7086,0.0009,0.4573,0.0008,0.8189,0.6451,,all_evals_results.csv
RASMD,stratified (own),nano,snua_at,robust_best,test,random_radiometric_medium,3,0.7036,0.0036,0.4534,0.0020,0.8122,0.6485,,all_evals_results.csv
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,clean,1,0.6869,,0.4546,,0.8112,0.6378,,all_evals_results.csv
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,,all_evals_results.csv
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,snua_go_weak,3,0.6575,0.0007,0.4190,0.0002,0.7947,0.6201,,all_evals_results.csv
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,snua_go_medium,3,0.6307,0.0005,0.3872,0.0019,0.7825,0.5916,,all_evals_results.csv
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,aria_medium,3,0.6845,0.0026,0.4503,0.0013,0.8106,0.6405,,all_evals_results.csv
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,combined_medium,3,0.6258,0.0014,0.3826,0.0013,0.7619,0.5957,,all_evals_results.csv
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,snua_go_strong,3,0.5627,0.0005,0.3239,0.0009,0.7057,0.5597,,all_evals_results.csv
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,aria_strong,3,0.6724,0.0006,0.4366,0.0018,0.8121,0.6309,,all_evals_results.csv
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,combined_strong,3,0.5331,0.0028,0.3057,0.0005,0.6746,0.5405,,all_evals_results.csv
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,random_fpn_medium,3,0.6872,0.0007,0.4545,0.0013,0.8149,0.6369,,all_evals_results.csv
RASMD,stratified (own),nano,mixed_swir_at,robust_best,test,random_radiometric_medium,3,0.6884,0.0035,0.4547,0.0006,0.8091,0.6437,,all_evals_results.csv
RASMD,stratified (own),small,standard,best,test,clean,1,0.7385,,0.4705,,0.8183,0.6968,,aggregate_results_table2.csv
RASMD,stratified (own),small,standard,best,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,,all_evals_results.csv
RASMD,stratified (own),small,standard,best,test,snua_go_weak,3,0.0935,0.0025,0.0416,0.0016,0.2511,0.1225,,all_evals_results.csv
RASMD,stratified (own),small,standard,best,test,snua_go_medium,3,0.0081,0.0021,0.0039,0.0012,0.0499,0.0237,,all_evals_results.csv
RASMD,stratified (own),small,standard,best,test,aria_medium,3,0.7342,0.0029,0.4665,0.0005,0.8196,0.6933,,all_evals_results.csv
RASMD,stratified (own),small,standard,best,test,combined_medium,3,0.0082,0.0034,0.0036,0.0016,0.0389,0.0236,,all_evals_results.csv
RASMD,stratified (own),small,standard,best,test,snua_go_strong,3,0.0003,0.0005,0.0001,0.0001,0.0020,0.0010,,all_evals_results.csv
RASMD,stratified (own),small,standard,best,test,aria_strong,3,0.7240,0.0017,0.4563,0.0003,0.8119,0.6893,,all_evals_results.csv
RASMD,stratified (own),small,standard,best,test,combined_strong,3,0.0001,0.0001,0.0000,0.0000,0.0018,0.0010,,all_evals_results.csv
RASMD,stratified (own),small,standard,best,test,random_fpn_medium,3,0.2906,0.0130,0.1725,0.0063,0.5947,0.2742,,all_evals_results.csv
RASMD,stratified (own),small,standard,best,test,random_radiometric_medium,3,0.7373,0.0019,0.4695,0.0004,0.8197,0.6942,,all_evals_results.csv
RASMD,stratified (own),small,standard,best,val,clean,1,0.7803,,0.5470,,0.8529,0.7305,,aggregate_results_table2.csv
RASMD,stratified (own),small,standard,last,test,clean,1,0.7543,,0.4995,,0.8302,0.7297,,aggregate_results_table2.csv
RASMD,stratified (own),small,standard,last,test,pgd20,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,,all_evals_results.csv
RASMD,stratified (own),small,standard,last,test,snua_go_weak,3,0.1102,0.0047,0.0556,0.0048,0.3239,0.1307,,all_evals_results.csv
RASMD,stratified (own),small,standard,last,test,snua_go_medium,3,0.0219,0.0016,0.0082,0.0007,0.1679,0.0269,,all_evals_results.csv
RASMD,stratified (own),small,standard,last,test,aria_medium,3,0.7532,0.0017,0.4953,0.0019,0.8231,0.7308,,all_evals_results.csv
RASMD,stratified (own),small,standard,last,test,combined_medium,3,0.0213,0.0023,0.0074,0.0007,0.1236,0.0254,,all_evals_results.csv
RASMD,stratified (own),small,standard,last,test,snua_go_strong,3,0.0001,0.0000,0.0000,0.0000,0.1143,0.0009,,all_evals_results.csv
RASMD,stratified (own),small,standard,last,test,aria_strong,3,0.7429,0.0043,0.4843,0.0031,0.8111,0.7251,,all_evals_results.csv
RASMD,stratified (own),small,standard,last,test,combined_strong,3,0.0000,0.0000,0.0000,0.0000,0.0579,0.0008,,all_evals_results.csv
RASMD,stratified (own),small,standard,last,test,random_fpn_medium,3,0.2543,0.0090,0.1590,0.0044,0.6297,0.2344,,all_evals_results.csv
RASMD,stratified (own),small,standard,last,test,random_radiometric_medium,3,0.7553,0.0011,0.4988,0.0017,0.8295,0.7287,,all_evals_results.csv
RASMD,stratified (own),small,standard,last,val,clean,1,0.7306,,0.5296,,0.7736,0.7380,,aggregate_results_table2.csv
RASMD,stratified (own),small,adversarial,best,test,clean,1,0.7045,,0.4609,,0.7661,0.6986,,aggregate_results_table2.csv
RASMD,stratified (own),small,adversarial,best,test,pgd20,1,0.1112,,0.0360,,0.5143,0.1312,,aggregate_results_table2.csv
RASMD,stratified (own),small,adversarial,best,val,clean,1,0.7330,,0.4799,,0.7977,0.7022,,aggregate_results_table2.csv
RASMD,stratified (own),small,adversarial,last,test,clean,1,0.7252,,0.4658,,0.8047,0.6769,,aggregate_results_table2.csv
RASMD,stratified (own),small,adversarial,last,test,pgd20,1,0.1423,,0.0489,,0.5907,0.1580,,aggregate_results_table2.csv
RASMD,stratified (own),small,adversarial,last,val,clean,1,0.6860,,0.4751,,0.7449,0.6974,,aggregate_results_table2.csv
RASMD,stratified (own),small,pgd_at,best,test,clean,1,0.7045,,0.4609,,0.7661,0.6986,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,best,test,pgd20,3,0.1154,0.0008,0.0365,0.0002,0.4866,0.1398,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,best,test,snua_go_weak,3,0.2360,0.0041,0.1268,0.0010,0.4564,0.2395,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,best,test,snua_go_medium,3,0.1342,0.0029,0.0626,0.0020,0.3193,0.1608,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,best,test,aria_medium,3,0.7050,0.0011,0.4588,0.0003,0.7627,0.7000,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,best,test,combined_medium,3,0.1328,0.0041,0.0612,0.0022,0.3727,0.1521,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,best,test,snua_go_strong,3,0.0241,0.0034,0.0090,0.0019,0.1402,0.0445,,all_evals_results.csv
RASMD,stratified (own),small,pgd_at,best,test,aria_strong,3,0.6988,0.0014,0.4520,0.0013,0.7671,0.6901,,all_evals_results.csv
