dataset,split_variant,model,training,checkpoint,eval_split,attack,n_seeds,precision,precision_std,recall,recall_std,mAP50,mAP50_std,mAP50-95,mAP50-95_std,selection_bias,source
NSLSR,leakage-safe (segment),nano,standard,last,test,clean,1,0.9591,,0.8047,,0.9062,,0.6486,,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,pgd20,3,0.0001,0.0001,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,snua_go_weak,3,0.5801,0.0067,0.5842,0.0137,0.4890,0.0048,0.2074,0.0042,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,snua_go_medium,3,0.3739,0.0077,0.3612,0.0239,0.2300,0.0140,0.0759,0.0047,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,aria_medium,3,0.9488,0.0224,0.8149,0.0178,0.9030,0.0015,0.6383,0.0027,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,combined_medium,3,0.3739,0.0257,0.3706,0.0255,0.2332,0.0132,0.0749,0.0041,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,snua_go_strong,3,0.1426,0.0177,0.0837,0.0123,0.0206,0.0087,0.0061,0.0012,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,aria_strong,3,0.9283,0.0379,0.7995,0.0225,0.8869,0.0043,0.6130,0.0004,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,combined_strong,3,0.1628,0.0326,0.1023,0.0123,0.0338,0.0114,0.0113,0.0034,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,random_fpn_medium,3,0.8463,0.0080,0.7229,0.0091,0.7891,0.0059,0.5308,0.0044,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,test,random_radiometric_medium,3,0.9694,0.0026,0.8111,0.0033,0.9067,0.0004,0.6501,0.0020,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,standard,last,val,clean,1,0.8252,,0.5335,,0.6574,,0.3646,,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,best,test,clean,1,0.8754,,0.8465,,0.9299,,0.6225,,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,best,test,pgd20,1,0.4881,,0.4140,,0.3726,,0.1285,,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,best,val,clean,1,0.7864,,0.5213,,0.6432,,0.3646,,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,last,test,clean,1,0.9463,,0.8558,,0.9195,,0.6616,,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,last,test,pgd20,1,0.6116,,0.5023,,0.4756,,0.2248,,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,adversarial,last,val,clean,1,0.6939,,0.5518,,0.5750,,0.3344,,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,clean,1,0.8754,,0.8465,,0.9299,,0.6225,,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,pgd20,3,0.4693,0.0181,0.4445,0.0171,0.3682,0.0044,0.1291,0.0016,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,snua_go_weak,3,0.9051,0.0024,0.6800,0.0129,0.8322,0.0024,0.4673,0.0009,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,snua_go_medium,3,0.8113,0.0092,0.6124,0.0143,0.7104,0.0080,0.3355,0.0050,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,aria_medium,3,0.8763,0.0085,0.8432,0.0022,0.9248,0.0003,0.6158,0.0033,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,combined_medium,3,0.8007,0.0172,0.6078,0.0239,0.7007,0.0057,0.3266,0.0035,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,snua_go_strong,3,0.4062,0.0544,0.1938,0.0071,0.1590,0.0054,0.0559,0.0037,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,aria_strong,3,0.8560,0.0183,0.8216,0.0190,0.9135,0.0019,0.5934,0.0040,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,combined_strong,3,0.4332,0.0308,0.1907,0.0081,0.1575,0.0094,0.0529,0.0021,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,random_fpn_medium,3,0.8975,0.0056,0.8341,0.0142,0.9274,0.0019,0.6310,0.0023,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,best,test,random_radiometric_medium,3,0.8778,0.0037,0.8459,0.0048,0.9293,0.0006,0.6220,0.0017,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,clean,1,0.9463,,0.8558,,0.9195,,0.6616,,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,pgd20,3,0.6485,0.0296,0.4992,0.0054,0.4770,0.0059,0.2185,0.0005,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,snua_go_weak,3,0.8827,0.0127,0.6855,0.0083,0.7709,0.0025,0.4866,0.0011,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,snua_go_medium,3,0.8376,0.0055,0.6043,0.0127,0.6631,0.0044,0.3699,0.0104,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,aria_medium,3,0.9453,0.0046,0.8477,0.0018,0.9163,0.0010,0.6555,0.0011,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,combined_medium,3,0.8520,0.0088,0.5984,0.0097,0.6623,0.0075,0.3652,0.0072,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,snua_go_strong,3,0.4833,0.0529,0.2864,0.0438,0.2516,0.0219,0.0781,0.0063,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,aria_strong,3,0.9440,0.0029,0.8315,0.0032,0.9066,0.0010,0.6429,0.0030,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,combined_strong,3,0.3959,0.0831,0.2851,0.0163,0.2190,0.0277,0.0684,0.0115,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,random_fpn_medium,3,0.9434,0.0174,0.8481,0.0066,0.9273,0.0014,0.6706,0.0018,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,test,random_radiometric_medium,3,0.9468,0.0026,0.8548,0.0034,0.9194,0.0008,0.6639,0.0017,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,clean,1,0.6949,,0.5486,,0.5728,,0.3354,,,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,pgd20,3,0.5977,0.0176,0.2785,0.0018,0.2212,0.0021,0.0859,0.0010,,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,snua_go_weak,3,0.6869,0.0102,0.3903,0.0029,0.4090,0.0026,0.2044,0.0019,,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,snua_go_medium,3,0.5538,0.0526,0.3387,0.0139,0.2938,0.0028,0.1338,0.0015,,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,aria_medium,3,0.7018,0.0052,0.5301,0.0083,0.5700,0.0032,0.3289,0.0020,,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,pgd_at,last,val,combined_medium,3,0.5445,0.0200,0.3207,0.0058,0.2713,0.0049,0.1270,0.0033,,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,clean,1,0.9250,,0.8600,,0.9481,,0.6850,,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,pgd20,3,0.0001,0.0001,0.0031,0.0027,0.0000,0.0000,0.0000,0.0000,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,snua_go_weak,3,0.7890,0.0035,0.6834,0.0060,0.7328,0.0081,0.3940,0.0043,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,snua_go_medium,3,0.5705,0.0315,0.5860,0.0123,0.4923,0.0233,0.2103,0.0087,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,aria_medium,3,0.9008,0.0082,0.8695,0.0126,0.9443,0.0004,0.6762,0.0026,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,combined_medium,3,0.5754,0.0234,0.6093,0.0093,0.5000,0.0116,0.2124,0.0119,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,snua_go_strong,3,0.2940,0.0308,0.3302,0.0000,0.1584,0.0103,0.0424,0.0038,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,aria_strong,3,0.8942,0.0202,0.8439,0.0309,0.9306,0.0018,0.6512,0.0046,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,combined_strong,3,0.2936,0.0013,0.3247,0.0174,0.1419,0.0011,0.0378,0.0015,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,random_fpn_medium,3,0.9164,0.0044,0.9240,0.0097,0.9622,0.0018,0.6850,0.0014,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,test,random_radiometric_medium,3,0.9148,0.0102,0.8732,0.0066,0.9487,0.0007,0.6870,0.0009,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,clean,1,0.7734,,0.5701,,0.6399,,0.3532,,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,pgd20,3,0.0002,0.0000,0.0193,0.0035,0.0000,0.0000,0.0000,0.0000,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,snua_go_weak,3,0.5835,0.0037,0.3882,0.0047,0.3562,0.0057,0.1673,0.0011,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,snua_go_medium,3,0.4390,0.0211,0.3648,0.0035,0.2373,0.0056,0.0952,0.0017,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,aria_medium,3,0.7836,0.0205,0.5629,0.0139,0.6338,0.0025,0.3466,0.0013,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,random_swir_aug,robust_best,val,combined_medium,3,0.4553,0.0058,0.3678,0.0017,0.2409,0.0065,0.0980,0.0010,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,clean,1,0.8441,,0.9318,,0.9424,,0.6236,,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,pgd20,3,0.0003,0.0001,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,snua_go_weak,3,0.8864,0.0003,0.8140,0.0000,0.9010,0.0001,0.5626,0.0004,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,snua_go_medium,3,0.8699,0.0012,0.7728,0.0048,0.8514,0.0009,0.4971,0.0004,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,aria_medium,3,0.8610,0.0379,0.8915,0.0474,0.9374,0.0009,0.6144,0.0019,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,combined_medium,3,0.8721,0.0055,0.7690,0.0027,0.8413,0.0036,0.4884,0.0034,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,snua_go_strong,3,0.7805,0.0192,0.6992,0.0054,0.7307,0.0005,0.3835,0.0029,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,aria_strong,3,0.8985,0.0135,0.7997,0.0152,0.9167,0.0014,0.5839,0.0032,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,combined_strong,3,0.7594,0.0079,0.6806,0.0107,0.6942,0.0070,0.3439,0.0037,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,random_fpn_medium,3,0.8457,0.0043,0.9284,0.0016,0.9419,0.0010,0.6247,0.0012,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,test,random_radiometric_medium,3,0.8478,0.0085,0.9302,0.0047,0.9424,0.0011,0.6238,0.0038,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,clean,1,0.7901,,0.5701,,0.6581,,0.3682,,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,pgd20,3,0.0006,0.0002,0.0081,0.0035,0.0000,0.0000,0.0000,0.0000,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,snua_go_weak,3,0.8198,0.0090,0.5080,0.0033,0.6060,0.0010,0.3310,0.0005,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,snua_go_medium,3,0.7902,0.0069,0.4705,0.0018,0.5524,0.0009,0.2983,0.0004,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,aria_medium,3,0.7916,0.0106,0.5701,0.0030,0.6490,0.0010,0.3612,0.0018,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,snua_at,robust_best,val,combined_medium,3,0.7724,0.0236,0.4627,0.0062,0.5391,0.0027,0.2910,0.0011,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,clean,1,0.9403,,0.8791,,0.9499,,0.6610,,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,pgd20,3,0.0002,0.0002,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,snua_go_weak,3,0.9276,0.0030,0.8654,0.0006,0.9187,0.0003,0.6137,0.0009,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,snua_go_medium,3,0.9052,0.0046,0.8354,0.0028,0.8872,0.0003,0.5605,0.0020,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,aria_medium,3,0.9358,0.0043,0.8807,0.0054,0.9446,0.0041,0.6529,0.0008,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,combined_medium,3,0.9081,0.0073,0.8268,0.0083,0.8763,0.0028,0.5496,0.0024,,defense_matrix_results_test.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,snua_go_strong,3,0.8475,0.0161,0.7356,0.0094,0.7745,0.0055,0.4422,0.0005,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,aria_strong,3,0.9304,0.0110,0.8721,0.0107,0.9308,0.0033,0.6340,0.0036,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,combined_strong,3,0.8443,0.0034,0.7258,0.0127,0.7576,0.0087,0.4164,0.0018,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,random_fpn_medium,3,0.9309,0.0044,0.8847,0.0016,0.9503,0.0005,0.6628,0.0003,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,test,random_radiometric_medium,3,0.9386,0.0015,0.8806,0.0027,0.9495,0.0018,0.6624,0.0012,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,clean,1,0.7212,,0.5793,,0.6190,,0.3684,,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,pgd20,3,0.0003,0.0001,0.0102,0.0047,0.0000,0.0000,0.0000,0.0000,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,snua_go_weak,3,0.7281,0.0004,0.4984,0.0015,0.5693,0.0002,0.3329,0.0005,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,snua_go_medium,3,0.7051,0.0026,0.4738,0.0046,0.5172,0.0009,0.2916,0.0002,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,aria_medium,3,0.7141,0.0144,0.5715,0.0087,0.6103,0.0002,0.3625,0.0006,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,mixed_swir_at,robust_best,val,combined_medium,3,0.7511,0.0099,0.4461,0.0047,0.5091,0.0007,0.2835,0.0011,checkpoint selected on this split,defense_matrix_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,clean,1,0.9244,,0.9023,,0.9607,,0.6787,,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,clean,1,0.9129,,0.9256,,0.9739,,0.6525,,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,pgd20,3,0.0001,0.0000,0.0202,0.0054,0.0000,0.0000,0.0000,0.0000,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,pgd20,3,0.0003,0.0004,0.0031,0.0027,0.0000,0.0000,0.0000,0.0000,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,snua_go_weak,3,0.5821,0.0281,0.5298,0.0160,0.4902,0.0261,0.2290,0.0066,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,snua_go_weak,3,0.8981,0.0092,0.8812,0.0081,0.9543,0.0004,0.6046,0.0002,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,snua_go_medium,3,0.3661,0.0130,0.3779,0.0137,0.2451,0.0103,0.0963,0.0073,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,snua_go_medium,3,0.8639,0.0028,0.8713,0.0027,0.9256,0.0011,0.5477,0.0006,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,aria_medium,3,0.9143,0.0061,0.9070,0.0033,0.9583,0.0016,0.6707,0.0006,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,aria_medium,3,0.9081,0.0115,0.9165,0.0183,0.9705,0.0016,0.6454,0.0035,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,combined_medium,3,0.3747,0.0161,0.3798,0.0071,0.2404,0.0018,0.0921,0.0050,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,combined_medium,3,0.8701,0.0056,0.8502,0.0065,0.9193,0.0032,0.5376,0.0017,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,snua_go_strong,3,0.2238,0.0149,0.1860,0.0168,0.0934,0.0082,0.0307,0.0038,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,aria_strong,3,0.8892,0.0100,0.8977,0.0081,0.9482,0.0011,0.6477,0.0025,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,combined_strong,3,0.2139,0.0159,0.1829,0.0071,0.0809,0.0123,0.0266,0.0032,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,random_fpn_medium,3,0.8606,0.0285,0.8616,0.0187,0.9280,0.0026,0.6124,0.0059,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,aria_at,robust_best,test,random_radiometric_medium,3,0.8979,0.0109,0.9299,0.0040,0.9612,0.0018,0.6795,0.0028,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,snua_go_strong,3,0.7861,0.0057,0.8003,0.0005,0.8309,0.0034,0.4485,0.0027,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,aria_strong,3,0.9038,0.0151,0.8834,0.0144,0.9581,0.0037,0.6210,0.0067,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,combined_strong,3,0.7736,0.0225,0.7628,0.0081,0.7957,0.0031,0.4115,0.0017,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,random_fpn_medium,3,0.9053,0.0042,0.9265,0.0015,0.9732,0.0005,0.6530,0.0014,,all_evals_results.csv
NSLSR,leakage-safe (segment),nano,combined_at,robust_best,test,random_radiometric_medium,3,0.9057,0.0026,0.9333,0.0097,0.9740,0.0008,0.6531,0.0020,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,clean,1,0.8491,,0.8110,,0.8979,,0.6099,,,aggregate_results_table2.csv
NSLSR,leakage-safe (segment),small,standard,best,test,pgd20,3,0.0000,0.0000,0.0062,0.0071,0.0000,0.0000,0.0000,0.0000,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,snua_go_weak,3,0.5987,0.0130,0.5230,0.0190,0.5048,0.0091,0.2512,0.0023,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,snua_go_medium,3,0.2425,0.0239,0.3070,0.0213,0.1757,0.0136,0.0735,0.0076,,all_evals_results.csv
NSLSR,leakage-safe (segment),small,standard,best,test,aria_medium,3,0.8532,0.0070,0.8033,0.0072,0.8925,0.0005,0.6029,0.0018,,all_evals_results.csv
