checkpoint,attack,seed,precision,recall,mAP50,mAP50-95
standard,clean,,0.7538404723602956,0.6255541552414502,0.6940929148305854,0.3780043298174259
standard,snua_go_medium,0,0.5626190559471668,0.27439024390243905,0.22729574230842428,0.06840370144586388
standard,snua_go_medium,1,0.5614844697031713,0.27134146341463417,0.25097057475873813,0.07457888901676306
standard,snua_go_medium,2,0.5561128439822148,0.2804878048780488,0.24425697618966002,0.0703335328887709
standard,aria_medium,0,0.7649633453584557,0.6158536585365854,0.6936850183087004,0.36843738950060356
standard,aria_medium,1,0.7414231375530346,0.6294148625884345,0.6891715698304892,0.3704102007389959
standard,aria_medium,2,0.737654405476961,0.6280487804878049,0.6870386276102649,0.3652720022804337
standard,combined_medium,0,0.5654997461553166,0.2774390243902439,0.23396679752638044,0.07040074330760546
standard,combined_medium,1,0.5147241778058866,0.2804878048780488,0.23780758347821723,0.06711016925679565
standard,combined_medium,2,0.5356148651302778,0.27134146341463417,0.238104840515875,0.06798758103699794
pgd_adversarial,clean,,0.7877435073408214,0.5204873857422441,0.6424214315698447,0.36316709912938006
pgd_adversarial,snua_go_medium,0,0.3857858683898629,0.3597560975609756,0.2787066031185592,0.1167897585892241
pgd_adversarial,snua_go_medium,1,0.3873244155432877,0.36890243902439024,0.28201841799622723,0.11971053640769247
pgd_adversarial,snua_go_medium,2,0.3585257124549657,0.36890243902439024,0.27347084985106873,0.11458592632764575
pgd_adversarial,aria_medium,0,0.7877730635836614,0.5092601937116404,0.636814197656674,0.3552232176785379
pgd_adversarial,aria_medium,1,0.7874773244937379,0.5152439024390244,0.6348351222831621,0.35593381485712555
pgd_adversarial,aria_medium,2,0.8006985613218431,0.5121951219512195,0.6343716186206834,0.35710900210629853
pgd_adversarial,combined_medium,0,0.3707923246764654,0.366517691720944,0.27839262536625414,0.11461927199449054
pgd_adversarial,combined_medium,1,0.3815304949769147,0.36890243902439024,0.27794769589120616,0.11625492055889766
pgd_adversarial,combined_medium,2,0.37842979237195107,0.36585365853658536,0.26995704439400703,0.11002238736804433
